id_user,country,area,subareas,degrees,wage_aspiration,currency,current_wage,change_cities,language,years_experience,months_experience,wish_role_name,work_modality,hardskills
1,Colombia,CALIDAD,,,4500000.0,COP,3800000.0,,INGLÉS B2 - INTERMEDIO ALTO,4,,,Tiempo completo,"CALIDAD,GESTIÓN DE CALIDAD,MEJORA CONTINUA,MEJORA DE PROCESOS,GESTIÓN DE PROYECTOS,MÍNIMO 1 AÑO EN PROCESOS PRODUCTIVOS O DE MANTENIMIENTO DE LA ORGANIZACIÓN,MICROSOFT EXCEL,LEAN SIX SIGMA,COMPRAS,ANALISIS DE INFORMACION"
2,Colombia,DISEÑO,,,2800000.0,COP,1600000.0,,INGLÉS C1 - AVANZADO,1,3,,Tiempo completo,"DISEÑO GRÁFICO,DISEÑO DE MARCA,DISEÑO,ADOBE ILLUSTRATOR,PHOTOSHOP,DISEÑO UI"
3,Colombia,TECNOLOGÍA,,,7000000.0,COP,5000000.0,,INGLÉS B2 - INTERMEDIO ALTO,10,,,Medio tiempo,"ADOBE CREATIVE SUITE,FIGMA,WEB DESIGN,WORDPRESS,DISEÑO DE INTERFAZ,DISEÑO INTERACTIVO,DISEÑO CENTRADO EN EL USUARIO,HTML5,CSS,DESIGN THINKING"
4,Colombia,VENTAS COMERCIAL,,,7000000.0,COP,5000000.0,,INGLÉS B1 - INTERMEDIO,10,,,Indiferente,"EXCELENTE RELACIONAMIENTO CON MI NICHO DE MERCADO.,HABILIDADES DE COMUNICACIÓN PARA CONECTAR CON LOS TOMADORES DE DECISIÓN EN LAS EMPRESAS O PROSPECTOS.,MANEJO DE DIFERENTES HERRAMIENTAS DE PLANIFICACIÓN ESTRATÉGICA,MONITOREO CONSTANTE DE INDICADORES (KPI´S) PARA EL LOGRO DE LOS OBJETIVOS COMERCIALES ASIGNADOS,GRANDES HABILIDADES PARA ANALIZAR Y PROCESAR INFORMACIÓN RELEVANTE HACIENDO USO DE HERRAMIENTAS DE BIG DATA,DOMINIO DE DIFERENTES CRM, CÓMO: SALES FORCE, HUBSPOT, BITRIX, ENTRE OTROS.,CAPACIDAD DE ANÁLISIS Y RAZONAMIENTO PARA APLICAR MÉTODOS Y TÉCNICAS PARA LA TOMA DE DECISIONES EFECTIVAS.,VENTAS CONSULTIVAS,INTERPRETACIÓN DE DATOS DE BI,LIDERAZGO"
5,Colombia,TECNOLOGÍA,,,5000000.0,COP,3400000.0,,INGLÉS B1 - INTERMEDIO,4,6,,Medio tiempo,"DISEÑO DE PRODUCTO,ESTRATEGIA OMNICANAL,ESTRATEGIA DE NEGOCIO,DISEÑO CENTRADO EN EL USUARIO,INVESTIGACIÓN DE USUARIOS,INNOVACIÓN,LIDERAZGO,AUTOMATIZACIÓN"
6,Colombia,PROFESIONAL ESPECIALISTA EN SEGURIDAD Y SALUD EN EL TRABAJO,,,5000000.0,COP,3000000.0,,INGLÉS A1 - BÁSICO,4,5,,Tiempo completo,PROFESIONAL EN SEGURIDAD Y SALUD EN EL TRABAJO CON 58 MESES DE EXPERIENCIA EN IMPLEMENTACIÓN DE SISTEMAS INTEGRADOS DE GESTIÓN.
7,Colombia,MERCADEO,,,3700000.0,COP,3700000.0,,INGLÉS B1 - INTERMEDIO,2,,,Prácticas Laborales,"MARKETING ESTRATEGICO,COMERCIAL,ESTRATEGIA DE MARKETING,ESTRATEGÍAS COMERCIALES"
8,Colombia,OPERACIONES LOGÍSTICA,,,5500000.0,COP,4500000.0,,INGLÉS C1 - AVANZADO,5,6,,Medio tiempo,"LOGÍSTICA,COMPRAS,COMERCIO INTERNACIONAL,GESTIÓN DE PROYECTOS,CUSTOMER MANAGEMENT,EJECUCIÓN PROYECTOS"
9,Colombia,MERCADEO,,,5000000.0,COP,4250000.0,,INGLÉS A2 - PRE INTERMEDIO,7,,,Indiferente,"ESTRATEGIA DE MARKETING,CAMPAÑAS PUBLICITARIAS,COMUNICACIÓN Y MEDIOS,MARKETING TRADICIONAL,MARKETING DIGITAL,BTL,COORDINACIÓN DE EVENTOS,GESTIÓN DE EVENTOS,MANEJO DE PRESUPUESTOS"
10,Colombia,RECURSOS HUMANOS,,,4000000.0,COP,4000000.0,,INGLÉS B2 - INTERMEDIO ALTO,8,,,Indiferente,
11,Colombia,GERENCIA DE PROYECTOS CONSULTORIA,,,4500000.0,COP,3900000.0,,INGLÉS B1 - INTERMEDIO,6,,,Indiferente,"PMO,POWER BI,MICROSOFT OFFICE,MIRO,SCRUM MASTER,METODOLOGÍAS ÁGILES,GESTIÓN DE PROYECTOS,DESARROLLO DE PROYECTOS"
12,Colombia,MERCADEO,,,18000000.0,COP,18000000.0,,INGLÉS C1 - AVANZADO,16,,,Indiferente,"GROWTH,CRM  ,DIGITAL MARKETING,MARKETING,INBOUND MARKETING"
13,Colombia,VENTAS COMERCIAL,,,20000000.0,COP,20000000.0,,INGLÉS B2 - INTERMEDIO ALTO,15,,,Prácticas Laborales,"INFLUENCIA,LIDERAZGO,NEGOCIACIÓN,PROGRAMACIÓN ORIENTADA A OBJETOS"
14,Colombia,TECNOLOGÍA,,,7500000.0,COP,6500000.0,,INGLÉS B1 - INTERMEDIO,2,,,Medio tiempo,"PYTHON,VBA,JAVASCRIPT,JAVA,MACROS EXCEL,SQL,LINUX,GIT,GITHUB"
15,Colombia,TECNOLOGÍA,,,2300000.0,COP,2000000.0,,INGLÉS C1 - AVANZADO,1,,,Indiferente,"REDUX,MOONGOSE,SEQUELIZE,NODEJS,REACT,EXPRESS,MONGO DB,GIT"
16,Colombia,RECURSOS HUMANOS,,,2200000.0,COP,,,INGLÉS A1 - BÁSICO,,,,Tiempo completo,
17,Colombia,VENTAS COMERCIAL,,,3500000.0,COP,,,INGLÉS B2 - INTERMEDIO ALTO,6,,,Indiferente,"NEGOCIACIONES B2B,ALIANZAS,ESTRATEGIA DE MERCADOS,MARKETING B2B,ANÁLISIS DE MERCADO,ADMINISTRACIÓN DE EMPRESAS,COMUNICACION MULTINIVEL,INFORMES DE GESTION,PROSPECCION"
18,Colombia,VENTAS COMERCIAL,,,8000000.0,COP,8000000.0,,INGLÉS B1 - INTERMEDIO,12,,,Medio tiempo,
19,Colombia,RECURSOS HUMANOS,,,9000000.0,COP,9000000.0,,INGLÉS B1 - INTERMEDIO,12,,,Prácticas Laborales,"BIENESTAR,SELECCIÓN DE PERSONAL,GESTIÓN DEL CAMBIO,PLANES DE COMPENSACION,SEGURIDAD INDUSTRIAL,GESTIÓN DE PROYECTOS"
20,Colombia,MERCADEO,,,9000000.0,COP,7000000.0,,INGLÉS B2 - INTERMEDIO ALTO,6,3,,Medio tiempo,"IMPLEMENTACIÓN Y ESTRUCTURACIÓN DE ESTRATEGIAS DE MERCADEO ,TRADEMARKETING,MARKETING ESTRATEGICO,GESTION DE EQUIPOS,ESTRATEGÍAS COMERCIALES"
21,Colombia,RECURSOS HUMANOS,,,11000000.0,COP,9000000.0,,INGLÉS B2 - INTERMEDIO ALTO,8,,,Medio tiempo,
22,Colombia,RECURSOS HUMANOS,,,4000000.0,COP,,BOGOTA,INGLÉS A1 - BÁSICO,5,,,Prácticas Laborales,"DESEMPEÑO,PLAN CARRERA,MANUALES DE FUNCIONES,VALUACIÓN DE CARGOS,RECONOCIMIENTO,ENTREVISTAS POR COMPETENCIAS,CAPACITACIÓN,ONBOARDING,COMUNICACION CORPORATIVA,SELECCIÓN DE PERSONAL"
23,Colombia,RECURSOS HUMANOS,,,4800000.0,COP,3500000.0,,INGLÉS B2 - INTERMEDIO ALTO,3,10,,Prácticas Laborales,"INGLÉS ,ADAPTABILIDAD ,RECURSOS HUMANOS ,PROCESOS DE CAPACITACIÓN ,BIENESTAR,CLIMA LABORAL,RELACIONES LABORALES"
24,Colombia,FINANZAS Y CONTABILIDAD,,,4000000.0,COP,1160000.0,,INGLÉS B1 - INTERMEDIO,7,6,,Indiferente,"COMERCIAL,BANCA DE INVERSIÓN,FINANZAS,VENTA CONSULTIVA,ANÁLISIS DE CONSUMIDOR,ANÁLISIS DE RESULTADOS"
25,Colombia,RECURSOS HUMANOS,,,3000000.0,COP,2500000.0,"MEDELLIN,BOGOTA,POPAYAN,CIUDAD DE MEXICO,BUCARAMANGA",INGLÉS C2 - EXCELENTE,7,6,,Indiferente,"INTERPRETACION DE PRUEBAS PSICOTECNICAS,INFORMES PSICOLÓGICOS,EXPERIENCIA DE SERVICIOS,SERVICIO AL CLIENTE,RECLUTAMIENTO,SELECCIÓN DE PERSONAL,ADMINISTRACIÓN DE PERSONAL,CONOCIMIENTO DEL CLIENTE,ATENCIÓN AL CLIENTE,COACHING PERSONAL"
26,Colombia,MERCADEO,,,2000000.0,COP,,,INGLÉS B1 - INTERMEDIO,,,,Medio tiempo,"COMUNICACIÓN ASERTIVA,LIDERAZGO,TRABAJO EN EQUIPO,POWER BI,MICROSOFT EXCEL,PENSAMIENTO ESTRATÉGICO"
27,Colombia,COMPRAS O PROYECTOS,,,2500000.0,COP,1500000.0,,INGLÉS B1 - INTERMEDIO,1,11,,Indiferente,"COMPRAS,ESTRUCTURACIÓN DE PROYECTOS,PROYECTOS,GESTIÓN DE PROYECTOS"
28,Colombia,OPERACIONES LOGÍSTICA,,,3000000.0,COP,1500000.0,,INGLÉS B1 - INTERMEDIO,3,,,Medio tiempo,"ALMACENAMIENTO, MANEJO DE INVENTARIO, TRANSPORTE, ENTREGA Y DEVOLUCIÓN DE UN PRODUCTO "
29,Colombia,ABASTECIMIENTO-SOURCING,,,3500000.0,COP,2300000.0,,INGLÉS B2 - INTERMEDIO ALTO,1,,,Medio tiempo,"APOYO EN CATÁLOGOS Y CARRITOS DE COMPRAS DE SOLICITUD ESPECIAL,GESTIONAR LOS DATOS DE LAS ÓRDENES DE COMPRA PARA EL EQUIPO DE COMPRAS INDIRECTAS,ESTABLECER Y MANTENER RELACIONES DE TRABAJO POSITIVAS CON PROVEEDORES / VENDEDORES.,APOYAR AL ÁREA DE SOURCING PARA OBTENER LA INFORMACIÓN CORRECTA PARA LA CREACIÓN, MANTENIMIENTO Y ELIMINACIÓN DE LOS PROVEEDORES, APOYO EN PREPARACIÓN DE AUDITORIAS,REALIZACIÓN DEL PROCESO DE ONBOARDING A LOS PROVEEDORES,  CREACIÓN DE PROVEEDORES Y/O CONTRATISTAS,SEGUIMIENTO Y REALIZACIÓN DE SOLICITUES PARA TODO EL ÁREA DE SOURCING DEL ÁREA LATAM.,MANEJO DE BASE DE DATOS DE PROVEEDORES PARA PERMANENCIA DE DATOS ACTUALIZADOS,CREACIÓN E INCLUSIÓN DE ÍTEMS CONTRATOS MARCO, ASÍ COMO LA APROBACIÓN Y MODIFICACIÓN DE ADENDAS A LOS TÉRMINOS INICIALES DE REFERENCIA.,CREACIÓN O MODIFICACIÓN DE DOCUMENTOS EN SAP"
30,Colombia,GERENCIA DE PROYECTOS CONSULTORIA,,,4000000.0,COP,2500000.0,,INGLÉS B2 - INTERMEDIO ALTO,5,,,Indiferente,"MANEJO DE PRESUPUESTOS,DISEÑO DE CRONOGRAMAS,ORGANIZACIÓN,RELACIONES COMERCIALES"
31,Colombia,MERCADEO,,,2000000.0,COP,0.0,,INGLÉS C1 - AVANZADO,,,,Indiferente,"DIGITAL MARKETING,ESTRATEGIA DE MARKETING,MERCHANDISING,ANÁLISIS DE CONSUMIDOR,INVESTIGACIÓN DE MERCADOS,ESTRATEGIA DE MARCA"
32,Colombia,MERCADEO,,,1900000.0,COP,1500000.0,,INGLÉS A1 - BÁSICO,3,7,,Indiferente,"CREATIVIDAD,GESTIÓN DEL CLIENTE,ADOBE ILLUSTRATOR,PHOTOSHOP,RHINO,MICROSOFT EXCEL,GESTION COMERCIAL"
33,Colombia,RECURSOS HUMANOS,,,2000000.0,COP,1000000.0,,INGLÉS A1 - BÁSICO,1,,,Indiferente,"CONTRATACIÓN,AFILIACIONES,ENTREVISTAS POR COMPETENCIAS"
34,Colombia,MERCADEO,,,2000000.0,COP,1500000.0,,INGLÉS B2 - INTERMEDIO ALTO,1,,,Medio tiempo,
35,Colombia,FINANZAS Y CONTABILIDAD,,,2500000.0,COP,1800000.0,"BOGOTA,MEDELLIN,PEREIRA,BUCARAMANGA,MANIZALES,SANTA MARTA",INGLÉS B2 - INTERMEDIO ALTO,2,11,,Indiferente,"ACCOUNT MANAGEMENT,ANÁLISIS FINANCIERO,ADMINISTRACIÓN DE EMPRESAS,ADMINISTRACIÓN EFECTIVA DEL TIEMPO,ADMINISTRACIÓN,CONSULTORÍA"
36,Colombia,ANÁLISIS DE DATOS,,,2500000.0,COP,1650000.0,,INGLÉS B1 - INTERMEDIO,4,5,,Tiempo completo,"MICROSOFT EXCEL,SQL,PYTHON,GOOGLE DATA STUDIO,DATA DRIVEN"
37,Colombia,GERENCIA DE PROYECTOS CONSULTORIA,,,3000000.0,COP,2300000.0,,INGLÉS C1 - AVANZADO,1,,,Indiferente,"RESOLUCIÓN DE CONFLICTOS,TRABAJO EN EQUIPO,METODOLOGÍAS ÁGILES"
38,Colombia,GERENCIA DE PROYECTOS CONSULTORIA,,,4000000.0,COP,3000000.0,,INGLÉS B1 - INTERMEDIO,3,,,Indiferente,"ANALISTA EN PROYECTOS CON ÉNFASIS EN SET DE PRUEBAS ,MANEJO DE BASES DE DATOS PARA TOMA DE DECISIÓN "
39,Colombia,OPERACIONES LOGÍSTICA,,,4500000.0,COP,3350000.0,,INGLÉS B2 - INTERMEDIO ALTO,10,,,Indiferente,"COMPRAS,SUPPLY CHAIN,COMERCIO INTERNACIONAL,PLANEACIÓN,IMPORTACIONES"
40,Colombia,DISEÑO,,,3000000.0,COP,2200000.0,,INGLÉS A2 - PRE INTERMEDIO,10,,,Medio tiempo,"DISEÑO,DISEÑO GRÁFICO,DISEÑO WEB,DISEÑO UI,DIGITAL MARKETING,MOTION GRAPHICS,DISEÑO UX,FOTOGRAFÍA,COPYWRITING,GOOGLE ADS"
41,Colombia,RECURSOS HUMANOS,,,4000000.0,COP,3500000.0,,INGLÉS A1 - BÁSICO,5,,,Medio tiempo,"5 AÑOS DE EXPERIENCIA,INTERPRETACIÓN DE ANÁLISIS"
42,Colombia,FINANZAS Y CONTABILIDAD,,,3500000.0,COP,2000000.0,,INGLÉS B1 - INTERMEDIO,8,2,,Prácticas Laborales,"ANALISIS DE INFORMACION,CONTAPYME,ANÁLISIS FINANCIERO,INTERPRETACIÓN DE ANÁLISIS,MANEJO DE PRESUPUESTOS,ESTRATEGIA EMPRESARIAL,MICROSOFT EXCEL"
43,Colombia,RECURSOS HUMANOS,,,2200000.0,COP,2000000.0,,INGLÉS B2 - INTERMEDIO ALTO,1,8,,Indiferente,"RECURSOS HUMANOS ,PRUEBAS PSICOMÉTRICAS ,ATRACCIÓN DE TALENTO,RECLUTAMIENTO,SELECCIÓN DE PERSONAL,DESARROLLO ORGANIZACIONAL"
44,Colombia,VENTAS COMERCIAL,,,8000000.0,COP,6000000.0,,INGLÉS B1 - INTERMEDIO,18,,,Indiferente,"DESARROLLO DE NUEVOS NEGOCIOS,VENTA CONSULTIVA,DESARROLLO DE CANALES,TRABAJO EN EQUIPO,MANEJO DE KPI´S,PENSAMIENTO ESTRATÉGICO,ESTRATEGÍAS COMERCIALES,PLANIFICACIÓN,CIERRE DE VENTAS,DIRECCIÓN DE VENTAS"
